headline,actual_category,predicted_category
prime minister meets new leaders,Politics,Entertainment
league suspends player for unprecedented,Sports,Sports
reality show announces critical,Entertainment,Entertainment
president significant new policy on significant,Politics,Politics
supreme court rules on breakthrough case,Politics,Politics
reality show announces massive,Entertainment,Entertainment
mayor proposes unprecedented budget plan,Politics,Politics
world record in historic event,Sports,Sports
music festival breakthrough lineup,Entertainment,Entertainment
rookie makes major debut,Sports,Sports
retail sales show new growth,Business,Business
significant prices surge amid concerns,Business,Business
celebrity announces critical news,Entertainment,Entertainment
manufacturing sector shows major,Business,Entertainment
team trades massive for picks,Sports,Sports
tech giant announces historic merger,Business,Business
star player signs historic extension,Sports,Sports
art exhibition opens at critical,Entertainment,Entertainment
prime minister meets significant leaders,Politics,Entertainment
video game generates major sales,Entertainment,Entertainment
rookie makes controversial debut,Sports,Sports
manufacturing sector shows massive,Business,Entertainment
campaign rally in major state,Politics,Politics
actress receives new acclaim,Entertainment,Entertainment
fashion week showcases critical,Entertainment,Entertainment
significant market experiences volatility,Business,Business
senate votes on new reform bill,Politics,Politics
league suspends player for controversial,Sports,Sports
congressional hearing on historic,Politics,Politics
governor signs order on critical,Politics,Politics
manufacturing sector shows critical,Business,Entertainment
franchise announces new plans,Sports,Sports
new prices surge amid concerns,Business,Business
prime minister meets unprecedented leaders,Politics,Entertainment
housing market sees historic increase,Business,Business
reality show announces breakthrough,Entertainment,Entertainment
actor cast in historic blockbuster,Entertainment,Entertainment
governor signs order on massive,Politics,Politics
major market experiences volatility,Business,Business
star player signs controversial extension,Sports,Sports
trade agreement signed with major,Business,Business
broadway show extends significant,Entertainment,Entertainment
celebrity announces historic news,Entertainment,Entertainment
supreme court rules on controversial case,Politics,Politics
party nominates unprecedented candidate,Politics,Politics
voters head to polls for major election,Politics,Politics
political scandal involving massive,Politics,Politics
bank announces massive program,Business,Business
actress receives significant acclaim,Entertainment,Entertainment
breakthrough prices surge amid concerns,Business,Business
music festival massive lineup,Entertainment,Entertainment
league suspends player for critical,Sports,Sports
team wins historic championship,Sports,Sports
fans celebrate significant parade,Sports,Sports
stadium breakthrough project approved,Sports,Sports
diplomat negotiates controversial treaty,Politics,Politics
reality show announces new,Entertainment,Entertainment
underdog team upsets controversial,Sports,Sports
ecommerce platform new revenue,Business,Business
reality show announces historic,Entertainment,Entertainment
president major new policy on historic,Politics,Politics
league suspends player for historic,Sports,Sports
company reports controversial earnings,Business,Business
fashion week showcases significant,Entertainment,Entertainment
world record in critical event,Sports,Sports
world record in major event,Sports,Sports
league suspends player for major,Sports,Sports
coach announces major plans,Sports,Sports
fashion week showcases massive,Entertainment,Entertainment
senate votes on historic reform bill,Politics,Politics
government major amid major dispute,Politics,Politics
stadium massive project approved,Sports,Sports
streaming service launches new,Entertainment,Entertainment
director wins breakthrough award,Entertainment,Entertainment
mayor proposes significant budget plan,Politics,Politics
housing market sees major increase,Business,Business
tournament critical for playoffs,Sports,Sports
movie breaks major box office records,Entertainment,Entertainment
critical prices surge amid concerns,Business,Business
video game generates new sales,Entertainment,Entertainment
company reports unprecedented earnings,Business,Business
federal reserve adjusts breakthrough rates,Business,Business
underdog team upsets massive,Sports,Sports
tech giant announces critical merger,Business,Business
mayor proposes controversial budget plan,Politics,Politics
retail sales show major growth,Business,Business
